feature,coefficient_orig_model,coefficient_new_model
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_6_0,0.05297806631682014,-0.057907724627158375
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_7_3,-0.10601771322867948,0.013057118837803491
Nuclei_Texture_InverseDifferenceMoment_RFP_3_00_256,-0.4489064620874499,-0.08868706729632933
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_8,0.04771451123168319,0.01763720726315866
Cytoplasm_RadialDistribution_ZernikePhase_CY5_7_1,-0.009976817540741657,0.007938787627372825
Cells_RadialDistribution_MeanFrac_GFP_1of4,-0.23931341736024128,-0.26096890117600646
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_7_5,-0.0180704280756079,0.007800280920713528
Nuclei_Texture_InfoMeas1_RFP_3_03_256,0.6387506641041313,0.15514364135754918
Nuclei_RadialDistribution_ZernikePhase_CY5_9_3,0.016040113437569458,0.01972684578338545
Nuclei_RadialDistribution_ZernikePhase_DAPI_2_2,-0.030772335253053076,0.003053322124570045
Cytoplasm_RadialDistribution_MeanFrac_DAPI_4of4,-0.8260360070330346,-0.38864248745452257
Cytoplasm_AreaShape_Zernike_6_2,-0.01950913912663749,0.0969915679150184
Nuclei_RadialDistribution_ZernikePhase_RFP_6_2,-0.022405975589461474,-0.02572385024165478
Cells_AreaShape_Zernike_8_4,-0.010527164668978127,-0.045163464218718676
Cells_RadialDistribution_ZernikeMagnitude_CY5_8_4,-0.09519798967165014,0.04342042963979508
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_8_6,-0.11453634033382716,-0.0013967712665269737
Cells_Correlation_K_GFP_DAPI,-0.15508478427158937,-0.16835516434249706
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_8_0,-0.021344685319938328,-0.007751348235635617
Nuclei_RadialDistribution_ZernikePhase_DAPI_8_2,-0.03984146065228071,0.0008366434635189129
Cells_AreaShape_Zernike_6_2,-0.07564445616051439,-0.0657947419676046
Nuclei_Texture_Correlation_DAPI_3_01_256,0.5167955910791161,0.38509260405488904
Cytoplasm_Intensity_IntegratedIntensityEdge_CY5,0.9861134169306722,-0.4022814507705778
Cells_AreaShape_Zernike_3_1,0.07457748897900787,0.09228737608546564
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_5_3,0.013997535446801445,-0.034577910823456806
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_8_4,0.11741247481239632,0.19011965660578486
Cytoplasm_Texture_Contrast_GFP_3_02_256,0.36939302644510436,0.3459547021035641
Cells_RadialDistribution_ZernikeMagnitude_GFP_6_2,-0.3341904403622999,-0.16811033128186706
Cells_RadialDistribution_ZernikeMagnitude_RFP_8_0,-0.06976318503684027,0.018834437050580407
Cytoplasm_AreaShape_Zernike_3_1,0.014923259144780484,-0.030926134205132853
Nuclei_AreaShape_Zernike_8_2,-0.0435762180270072,0.016630704962919688
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_6_0,0.04762140500076284,0.008347749547672787
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_5,0.026927446753511657,-0.044570925141252875
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_9_1,-0.023401005878397652,-0.029472695480575253
Nuclei_RadialDistribution_ZernikePhase_GFP_7_5,-0.035663667567484944,-0.025176457480245242
Cytoplasm_Intensity_MADIntensity_CY5,0.04817948317814029,0.2432317897070013
Nuclei_AreaShape_MajorAxisLength,0.4243680967724298,0.49340683544937947
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_4_0,-0.15599535466052872,-0.08468237429845701
Nuclei_RadialDistribution_ZernikePhase_RFP_9_1,-0.005489373104600104,-0.002452429171886853
Cytoplasm_RadialDistribution_ZernikePhase_GFP_3_1,0.04009949796465849,0.02243550842553635
Cytoplasm_AreaShape_Zernike_7_3,0.0907669373672521,0.0773914072436087
Cytoplasm_Texture_InfoMeas2_DAPI_3_03_256,-0.6115270978287608,-0.7104487695212046
Nuclei_Intensity_IntegratedIntensity_GFP,0.24964217083222284,-0.21761152307716772
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_5_5,-0.023202358288992322,0.06643398090915596
Nuclei_Intensity_StdIntensityEdge_RFP,-0.15809353837153772,-0.1250029388548206
Cells_Intensity_MADIntensity_DAPI,-0.06661176179785462,-0.14980742333383965
